Released Date,Movie,Worldwide,India Telugu Net,India Gross,Overseas,Budget,Verdict,Genres,Industry,Original Languages,Dubbed Languages,Status,Region,India Malayalam Net,India Hindi Net,India Gujarati Net,India Marathi Net,India Bengali Net
25 Dec,Solo Brathuke So Better,22.3,18.1,21.1,1.2,20,Hit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Mar,Shivan,0.25,0.2,0.23,0.02,2,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Mar,Eureka,0.35,0.25,0.3,0.05,3,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Mar,Madha,0.5,0.35,0.42,0.08,3,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Mar,Arjuna,0.35,0.25,0.3,0.05,3,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Mar,302,0.07,0.05,0.07,0,2,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Mar,College Kumar,0.47,0.16,0.47,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Mar,Palasa 1978,3.2,2.5,2.95,0.25,5,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Mar,O Pitta Katha,0.9,0.77,0.9,0,5,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Mar,Anukunnadi Okati Ayindi Okkati,0.11,0.09,0.11,0,5,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
28 Feb,HIT,8,6.6,7.5,0.5,4,Above Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
28 Feb,Raahu,0.6,0.5,0.6,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
21 Feb,Valayam,4.5,3.7,4.3,0.2,7,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
21 Feb,Pressure Cooker,0.6,0.5,0.6,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
21 Feb,Bheeshma,52,35.6,42,10,20,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
21 Feb,Cheema Prema Madhyalo Bhaama,0.64,0.55,0.64,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Feb,World Famous Lover,17,11.5,14.5,2.5,35,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Feb,Oka Chinna Viramam,1.4,1.1,1.28,0.12,2,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Feb,Life Anubavinchu Raja,0.64,0.55,0.64,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Feb,Jaanu,11.9,8.1,9.4,2.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Feb,Neevalle Nenunna,0.52,0.45,0.52,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Feb,Degree College,0.52,0.45,0.52,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
31 Jan,Choosi Choodangane,3.5,2.8,3.25,0.25,3,Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Jan,Disco Raja,26,21,24,2,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Jan,Street Dancer 3D,102,0.14,87,15,100,Below Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Jan,Dolittle,450,0.13,7.5,203,1230,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
15 Jan,Entha Manchivaadavuraa,25,19.1,22.1,2.9,15,Hit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
12 Jan,Ala Vaikunthapurramuloo,269.35,200.98,233.35,36,120,All Time Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
11 Jan,Sarileru Neekevvaru,221.7,169.55,196.7,25,100,Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
09 Jan,Darbar,247.8,13.47,173.8,74,200,Below Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Jan,"Wife,i",0.1,0.09,0.1,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Jan,Uttara,0.16,0.13,0.16,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Jan,Namaste Nestama,0.8,0.58,0.8,0,5,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Jan,Hulchul,0.09,0.08,0.09,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
01 Jan,Oollalla Oollalla,2,1.96,2,0,10,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
01 Jan,Beautiful,1.4,1.18,1.4,0,8,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
31 Dec,Arjuna Phalguna,-,0,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Dec,Shyam Singha Roy,49,42.83,43.5,5.5,1,Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Dec,83,193,0.36,129,64,220,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Dec,Pushpa: The Rise (Part 1),350.1,136.43,313.8,36.3,150,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
16 Dec,Spider-Man: No Way Home,15700,2.22,271,9010,1500,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
10 Dec,Lakshya,-,0,0,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
04 Dec,Skylab,-,2.01,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
02 Dec,Marakkar: Lion of the Arabian Sea,45.4,0.22,22.4,23,100,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
02 Dec,Akhanda,117,89,103.3,13.7,40,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
26 Nov,Anubhavinchu Raja,-,2.67,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Ram Asur,0.22,0.19,0.22,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Poster,0.15,0.12,0.15,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Ghostbusters: Afterlife,0.23,0.2,0.23,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Chalo Premiddam,0.03,0.025,0.03,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
